Suburb,Address,Rooms,Type,Price,Method,SellerG,Date,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,Lattitude,Longtitude,Regionname,Propertycount,BuildingArea_missing
Abbotsford,40 Nicholson St,3,h,1350000.0,VB,Nelson,2016-11-12,2.5,3067,3,2,2,214.0,190.0,2005,-37.8085,144.9964,Northern Metropolitan,4019,0
Abbotsford,123/56 Nicholson St,2,u,750000.0,S,Biggin,2016-11-12,2.5,3067,2,2,1,94.0,94.0,2009,-37.8078,144.9965,Northern Metropolitan,4019,0
Abbotsford,45 William St,2,h,1172500.0,S,Biggin,2016-08-13,2.5,3067,2,1,1,195.0,111.41224489795918,2013,-37.8084,144.9973,Northern Metropolitan,4019,1
Abbotsford,7/20 Abbotsford St,1,u,441000.0,SP,Greg,2016-05-14,2.5,3067,1,1,1,51.38775510204081,51.38775510204081,1960,-37.8016,144.9988,Northern Metropolitan,4019,1
Abbotsford,16 William St,2,h,1310000.0,S,Jellis,2016-10-15,2.5,3067,2,1,2,238.0,97.0,1890,-37.809,144.9976,Northern Metropolitan,4019,0
Abbotsford,42 Henry St,3,h,1200000.0,S,Jellis,2016-07-16,2.5,3067,3,2,1,113.0,110.0,1880,-37.8056,144.993,Northern Metropolitan,4019,0
Abbotsford,78 Yarra St,3,h,1176500.0,S,LITTLE,2016-07-16,2.5,3067,2,1,1,138.0,105.0,1890,-37.8021,144.9965,Northern Metropolitan,4019,0
Abbotsford,196 Nicholson St,3,h,955000.0,S,Collins,2016-09-17,2.5,3067,3,1,0,183.0,120.24489795918367,2000,-37.8022,144.9975,Northern Metropolitan,4019,1
Abbotsford,42 Valiant St,2,h,890000.0,S,Biggin,2016-09-17,2.5,3067,2,1,1,150.0,73.0,1985,-37.8011,145.0004,Northern Metropolitan,4019,0
Abbotsford,3/72 Charles St,4,h,1330000.0,PI,Kay,2017-03-18,2.5,3067,4,2,2,780.0,135.0,1900,-37.8073,144.9952,Northern Metropolitan,4019,0
Abbotsford,13/11 Nicholson St,3,t,900000.0,S,Beller,2017-03-18,2.5,3067,3,2,2,136.18367346938774,136.18367346938774,2010,-37.8093,144.9959,Northern Metropolitan,4019,1
Abbotsford,6/219 Nicholson St,2,u,500000.0,S,Collins,2016-06-18,2.5,3067,2,1,1,60.0,60.0,1970,-37.8015,144.9972,Northern Metropolitan,4019,0
Abbotsford,52a William St,2,h,1100000.0,PI,Biggin,2016-06-18,2.5,3067,2,2,1,124.0,135.0,2013,-37.8079,144.9977,Northern Metropolitan,4019,0
Abbotsford,49 Park St,2,h,1315000.0,S,Marshall,2016-11-19,2.5,3067,2,1,0,147.0,85.0,1900,-37.808,144.994,Northern Metropolitan,4019,0
Abbotsford,5/20 Abbotsford St,1,u,426000.0,SP,Greg,2016-08-22,2.5,3067,1,1,1,51.38775510204081,51.38775510204081,1965,-37.8016,144.9988,Northern Metropolitan,4019,1
Abbotsford,48 Abbotsford St,3,h,1447500.0,PI,Nelson,2016-08-22,2.5,3067,3,3,1,166.0,174.0,2012,-37.8017,145.0001,Northern Metropolitan,4019,0
Abbotsford,116/56 Nicholson St,1,u,457000.0,S,Jellis,2016-08-22,2.5,3067,1,1,1,50.0,50.0,1900,-37.8078,144.9965,Northern Metropolitan,4019,0
Abbotsford,159 Park St,2,h,1135000.0,S,Nelson,2016-08-22,2.5,3067,2,2,2,98.0,128.0,1920,-37.8005,144.9952,Northern Metropolitan,4019,0
Abbotsford,31 Turner St,4,h,1542000.0,S,Collins,2016-09-24,2.5,3067,4,3,1,163.6734693877551,163.6734693877551,1985,-37.7994,144.9965,Northern Metropolitan,4019,1
Abbotsford,166 Gipps St,3,h,1290000.0,S,Biggin,2017-02-25,2.5,3067,3,2,2,147.0,18.0,1920,-37.805,144.9943,Northern Metropolitan,4019,0
Abbotsford,60 Stafford St,3,h,1290000.0,S,Biggin,2017-02-25,2.5,3067,3,1,1,168.0,124.0,1950,-37.8007,144.9958,Northern Metropolitan,4019,0
Abbotsford,11/205 Gipps St,1,u,470000.0,S,Nelson,2016-07-26,2.5,3067,1,1,1,50.0,50.0,2013,-37.8055,144.9961,Northern Metropolitan,4019,0
Abbotsford,47 Studley St,2,h,1180000.0,S,Jellis,2016-11-27,2.5,3067,2,1,0,162.0,91.0,1900,-37.8016,144.9956,Northern Metropolitan,4019,0
Abbotsford,45 Yarra St,3,h,1195000.0,SP,Jellis,2016-11-27,2.5,3067,3,2,1,120.0,128.0,1998,-37.8022,144.9954,Northern Metropolitan,4019,0
Abbotsford,200 Nicholson St,2,h,1012500.0,S,Nelson,2016-05-28,2.5,3067,2,1,0,182.0,82.0,1900,-37.8021,144.9976,Northern Metropolitan,4019,0
Abbotsford,27 Charles St,2,h,1030000.0,S,Biggin,2016-07-30,2.5,3067,2,1,1,172.0,81.0,1930,-37.8086,144.9946,Northern Metropolitan,4019,0
Airport West,154 Halsey Rd,3,t,840000.0,PI,Nelson,2016-09-03,13.5,3042,3,2,1,303.0,225.0,2016,-37.718,144.878,Western Metropolitan,3464,0
Airport West,50 Bedford St,3,h,730000.0,VB,Nelson,2016-12-03,13.5,3042,3,2,1,145.0,145.0,1965,-37.7203,144.8755,Western Metropolitan,3464,0
Airport West,50 Bedford St,3,h,770000.0,SP,Nelson,2017-03-04,13.5,3042,3,2,1,145.0,145.0,1965,-37.7203,144.8755,Western Metropolitan,3464,0
Airport West,23 Hart St,2,h,603000.0,S,Nelson,2017-03-04,13.5,3042,2,1,1,272.0,84.0,1950,-37.7294,144.888,Western Metropolitan,3464,0
Airport West,1/80 Hawker St,3,t,700000.0,S,Brad,2017-03-04,13.5,3042,3,2,2,239.0,134.0,2009,-37.7218,144.8837,Western Metropolitan,3464,0
Airport West,1/37 Hillside Gr,3,h,600000.0,S,Maddison,2017-03-04,13.5,3042,2,1,1,290.0,116.0,1980,-37.7273,144.8744,Western Metropolitan,3464,0
Airport West,2/49 McIntosh St,2,u,500000.0,VB,Barry,2017-03-04,13.5,3042,2,1,1,168.0,86.0,2011,-37.7215,144.8864,Western Metropolitan,3464,0
Airport West,54 Marshall Rd,3,h,720000.0,S,Barry,2016-08-06,13.5,3042,2,1,1,620.0,152.54040816326528,1920,-37.7173,144.8872,Western Metropolitan,3464,1
Airport West,36 Roberts Rd,4,h,785000.0,S,Considine,2016-08-06,13.5,3042,3,1,2,597.0,127.0,1900,-37.7259,144.8792,Western Metropolitan,3464,0
Airport West,11 Harrington Rd,6,h,725000.0,SP,Barry,2016-05-07,13.5,3042,6,3,2,976.0,186.0,1980,-37.7239,144.8735,Western Metropolitan,3464,0
Airport West,2/252 Parer Rd,2,t,450000.0,S,Barry,2016-05-07,13.5,3042,2,1,1,110.0,90.0,2015,-37.7216,144.871,Western Metropolitan,3464,0
Airport West,3/19 Hart St,2,u,515000.0,S,Barry,2016-11-07,13.5,3042,2,1,1,141.0,73.0,2013,-37.7298,144.8883,Western Metropolitan,3464,0
Airport West,2/62 Clydesdale Rd,2,u,530000.0,S,Nelson,2016-09-10,13.5,3042,2,1,1,120.0,94.0,2012,-37.7234,144.8792,Western Metropolitan,3464,0
Airport West,3 Deidre Ct,3,h,895000.0,PI,Rendina,2016-09-10,13.5,3042,3,1,6,1063.0,133.0,1975,-37.7249,144.8728,Western Metropolitan,3464,0
Airport West,13 Etzel St,3,h,805000.0,S,Nelson,2016-12-10,13.5,3042,3,1,1,105.0,105.0,1950,-37.7217,144.8783,Western Metropolitan,3464,0
Airport West,1/43 Cameron St,3,u,752000.0,S,Nelson,2017-02-11,13.5,3042,3,1,1,265.0,130.0,1993,-37.7302,144.8855,Western Metropolitan,3464,0
Airport West,145a Victory Rd,2,u,440000.0,S,Barry,2016-08-13,13.5,3042,2,1,1,192.0,114.94285714285714,1960,-37.7177,144.8787,Western Metropolitan,3464,1
Airport West,241 Parer Rd,5,h,755000.0,PI,Propertyau,2016-05-14,13.5,3042,3,2,2,596.0,171.21224489795918,1994,-37.7248,144.8699,Western Metropolitan,3464,1
Airport West,2/40 Earl St,3,t,700000.0,PI,Brad,2016-10-15,13.5,3042,3,2,2,165.0,133.0,2009,-37.727,144.887,Western Metropolitan,3464,0
Airport West,180 Parer Rd,3,h,830000.0,S,Barry,2016-04-16,13.5,3042,3,1,2,971.0,113.0,1960,-37.7186,144.876,Western Metropolitan,3464,0
Airport West,4/54 Hawker St,2,u,462500.0,S,Barry,2016-07-16,13.5,3042,2,1,1,164.0,101.14081632653061,2003,-37.7218,144.8863,Western Metropolitan,3464,1
Airport West,43 Hillside Gr,3,h,670000.0,SP,Barry,2016-07-16,13.5,3042,3,2,2,657.0,169.9591836734694,1980,-37.7269,144.8742,Western Metropolitan,3464,1
Airport West,174 Parer Rd,2,h,675000.0,S,Barry,2016-07-16,13.5,3042,2,1,1,612.0,100.0,1975,-37.7187,144.8765,Western Metropolitan,3464,0
Airport West,138 Victory Rd,3,h,1042000.0,S,Nelson,2016-07-16,13.5,3042,3,2,5,612.0,174.0,1950,-37.7173,144.8796,Western Metropolitan,3464,0
Airport West,75 King St,3,h,910000.0,S,McDonald,2016-09-17,13.5,3042,3,1,1,775.0,175.64489795918368,1930,-37.7231,144.8835,Western Metropolitan,3464,1
Airport West,6 Kittyhawk St,4,h,773000.0,S,Brad,2016-09-17,13.5,3042,5,3,4,531.0,309.0,1980,-37.7263,144.8679,Western Metropolitan,3464,0
Airport West,478 Fullarton Rd,3,h,810000.0,PI,Barry,2017-03-18,13.5,3042,3,3,2,555.0,192.0,1980,-37.7285,144.8694,Western Metropolitan,3464,0
Airport West,144 Marshall Rd,3,h,715000.0,S,Rendina,2017-03-18,13.5,3042,3,2,2,422.0,126.0,1995,-37.7164,144.8792,Western Metropolitan,3464,0
Airport West,106 Parer Rd,3,h,790000.0,S,Nelson,2017-03-18,13.5,3042,3,1,3,614.0,167.48979591836735,1970,-37.7194,144.8827,Western Metropolitan,3464,1
Airport West,3/7 South Rd,3,t,540000.0,SP,Nelson,2016-06-18,13.5,3042,2,2,1,161.0,101.0,2010,-37.7231,144.8802,Western Metropolitan,3464,0
Airport West,37 North St,3,t,825000.0,SP,Barry,2016-11-19,13.5,3042,3,2,1,293.0,102.0,1960,-37.72,144.8776,Western Metropolitan,3464,0
Airport West,10 Hilbert Rd,3,h,685000.0,S,Barry,2016-05-22,13.5,3042,3,1,1,579.0,113.0,1975,-37.7226,144.8733,Western Metropolitan,3464,0
Airport West,110 Halsey Rd,3,h,805000.0,S,Barry,2016-08-22,13.5,3042,3,1,1,623.0,159.71428571428572,1965,-37.7184,144.882,Western Metropolitan,3464,1
Airport West,2/13 North St,2,u,510000.0,S,Nelson,2016-08-22,13.5,3042,2,1,1,141.0,76.0,1950,-37.7202,144.8797,Western Metropolitan,3464,0
Airport West,105a Victory Rd,3,h,612000.0,S,Nelson,2016-08-22,13.5,3042,3,2,1,212.0,127.93877551020408,2011,-37.7181,144.8824,Western Metropolitan,3464,1
Airport West,117 Marshall Rd,3,h,662000.0,S,Brad,2016-04-23,13.5,3042,3,1,2,612.0,169.23979591836735,1970,-37.7169,144.8815,Western Metropolitan,3464,1
Airport West,34 Moorna Dr,4,h,978000.0,S,Nelson,2016-09-24,13.5,3042,4,3,2,532.0,213.9795918367347,1950,-37.7263,144.869,Western Metropolitan,3464,1
Airport West,33 North St,3,h,720000.0,PI,Nelson,2017-02-25,13.5,3042,3,1,1,585.0,126.60204081632654,1950,-37.72,144.878,Western Metropolitan,3464,1
Airport West,49 Roberts Rd,4,h,765000.0,S,Prof.,2016-11-27,13.5,3042,4,1,2,509.0,202.78591836734694,1970,-37.7261,144.8785,Western Metropolitan,3464,1
Airport West,85 Roberts Rd,4,h,900000.0,S,Harcourts,2016-11-27,13.5,3042,4,2,3,628.0,146.0,1975,-37.7256,144.8739,Western Metropolitan,3464,0
Albert Park,105 Kerferd Rd,2,h,1275000.0,S,hockingstuart,2016-09-03,3.3,3206,2,1,0,120.0,82.0,1900,-37.8459,144.9555,Southern Metropolitan,3280,0
Albert Park,85 Richardson St,2,h,1455000.0,S,Thomson,2016-09-03,3.3,3206,2,1,0,159.0,127.18367346938776,1941,-37.845,144.9538,Southern Metropolitan,3280,1
Albert Park,112 Beaconsfield Pde,3,h,2850000.0,PI,Buxton,2017-03-04,3.3,3206,3,2,0,211.0,198.0,1890,-37.8481,144.9499,Southern Metropolitan,3280,0
Albert Park,94 Graham St,3,h,1850000.0,S,Greg,2017-03-04,3.3,3206,3,2,0,128.0,133.0,1890,-37.8452,144.9488,Southern Metropolitan,3280,0
Albert Park,396 Montague St,2,h,1436000.0,S,RT,2017-03-04,3.3,3206,2,1,0,130.0,81.0,1900,-37.8431,144.9565,Southern Metropolitan,3280,0
Albert Park,75 Graham St,2,h,1110000.0,S,Marshall,2016-08-06,3.3,3206,1,1,0,147.0,101.24489795918367,1900,-37.8444,144.9484,Southern Metropolitan,3280,1
Albert Park,54 Brooke St,2,h,1550000.0,S,Sotheby's,2016-05-07,3.3,3206,2,1,1,167.0,107.79061224489796,1990,-37.8405,144.9521,Southern Metropolitan,3280,1
Albert Park,104 Richardson St,4,h,2300000.0,S,Marshall,2016-05-07,3.3,3206,4,2,1,153.0,180.0,1880,-37.8447,144.9523,Southern Metropolitan,3280,0
Albert Park,4a Mills St,3,t,1550000.0,VB,Marshall,2016-11-07,3.3,3206,3,2,2,718.0,192.83673469387756,1930,-37.8443,144.9598,Southern Metropolitan,3280,1
Albert Park,1 Moubray St,3,h,1800000.0,VB,Greg,2016-11-07,3.3,3206,3,2,1,132.0,159.0,1996,-37.8415,144.952,Southern Metropolitan,3280,0
Albert Park,29 Faussett St,2,h,2120000.0,S,Greg,2016-09-10,3.3,3206,2,1,1,199.0,107.0,1900,-37.8422,144.9554,Southern Metropolitan,3280,0
Albert Park,3 Herbert St,3,h,1800000.0,VB,Cayzer,2016-09-10,3.3,3206,3,1,1,253.0,141.53061224489795,1995,-37.8443,144.9579,Southern Metropolitan,3280,1
Albert Park,24 Kerferd Pl,3,h,1800000.0,S,Marshall,2016-09-10,3.3,3206,3,2,1,90.0,122.0,1900,-37.8421,144.9571,Southern Metropolitan,3280,0
Albert Park,44 Draper St,2,h,1810000.0,PI,Greg,2016-12-10,3.3,3206,2,1,0,240.0,130.0591836734694,1975,-37.8379,144.9539,Southern Metropolitan,3280,1
Albert Park,2 Dundas Pl,3,h,2615000.0,S,Cayzer,2016-12-10,3.3,3206,3,2,1,177.0,181.0,1880,-37.8415,144.9585,Southern Metropolitan,3280,0
Albert Park,23 Finlay St,5,h,2100000.0,S,Greg,2016-12-10,3.3,3206,5,2,1,237.0,146.08775510204083,1930,-37.8436,144.9557,Southern Metropolitan,3280,1
Albert Park,31 Richardson St,3,h,1300000.0,S,hockingstuart,2016-12-10,3.3,3206,3,1,0,129.0,101.66836734693878,1927,-37.8422,144.94899999999996,Southern Metropolitan,3280,1
Albert Park,4a Gatehouse La,3,h,1370000.0,S,Greg,2016-06-12,3.3,3206,3,2,2,85.0,85.0,2000,-37.8451,144.9511,Southern Metropolitan,3280,0
Albert Park,60 Brooke St,2,h,1000000.0,S,Cayzer,2016-11-12,3.3,3206,2,1,0,288.0,153.45494285714287,1975,-37.8407,144.9523,Southern Metropolitan,3280,1
Albert Park,70 Barrett St,3,h,2575000.0,S,Greg,2016-10-15,3.3,3206,3,2,1,228.0,133.29897959183674,2012,-37.8445,144.9501,Southern Metropolitan,3280,1
Albert Park,65 Graham St,2,h,1322500.0,S,Greg,2016-10-15,3.3,3206,2,1,0,149.0,98.0,1890,-37.8443,144.9481,Southern Metropolitan,3280,0
Albert Park,364 Montague St,2,h,1562500.0,S,Greg,2016-10-15,3.3,3206,2,1,0,141.0,83.0,1890,-37.8424,144.9562,Southern Metropolitan,3280,0
Albert Park,86 Mills St,3,h,2000000.0,VB,RT,2016-04-16,3.3,3206,3,2,1,211.0,147.0,1900,-37.847,144.9575,Southern Metropolitan,3280,0
Albert Park,129 Kerferd Rd,3,h,1900000.0,S,Greg,2017-03-18,3.3,3206,3,1,0,209.0,120.44897959183673,1900,-37.8468,144.9546,Southern Metropolitan,3280,1
Albert Park,97 Page St,3,h,3010000.0,S,Greg,2017-03-18,3.3,3206,3,2,0,147.0,146.0,1890,-37.8473,144.9551,Southern Metropolitan,3280,0
Albert Park,55 Withers St,4,h,2800000.0,VB,Cayzer,2016-06-18,3.3,3206,4,3,1,327.0,254.0,1910,-37.8467,144.9475,Southern Metropolitan,3280,0
Albert Park,10/140 Kerferd Rd,2,u,647000.0,S,Greg,2016-05-22,3.3,3206,2,1,1,72.20408163265306,72.20408163265306,2013,-37.846,144.9542,Southern Metropolitan,3280,1
Albert Park,55 Merton St,3,h,2100000.0,SP,Marshall,2016-04-23,3.3,3206,2,1,1,120.0,123.0,1900,-37.8427,144.9546,Southern Metropolitan,3280,0
Albert Park,49 Page St,3,h,2000000.0,PI,Marshall,2016-09-24,3.3,3206,3,1,1,238.0,131.0,1890,-37.8461,144.9528,Southern Metropolitan,3280,0
Albert Park,13/52 Moubray St,1,u,442500.0,S,Marshall,2017-02-25,3.3,3206,1,1,0,34.0,34.0,1970,-37.8421,144.9517,Southern Metropolitan,3280,0
Albert Park,115 Page St,4,h,4735000.0,S,Marshall,2017-02-25,3.3,3206,4,2,1,330.0,207.0,1910,-37.8477,144.9558,Southern Metropolitan,3280,0
Albert Park,32 Page St,2,h,1340000.0,S,Greg,2017-02-25,3.3,3206,2,1,0,136.0,103.07714285714285,1984,-37.846,144.9517,Southern Metropolitan,3280,1
Albert Park,34 Richardson St,3,h,1801000.0,S,hockingstuart,2017-02-25,3.3,3206,3,1,1,202.0,123.19795918367346,1970,-37.8429,144.9493,Southern Metropolitan,3280,1
Albert Park,2b Dundas Pl,3,h,1532000.0,S,Chisholm,2016-07-26,3.3,3206,3,3,1,151.0612244897959,151.0612244897959,1970,-37.8415,144.9585,Southern Metropolitan,3280,1
Albert Park,22 Greig St,3,h,3755000.0,S,Greg,2016-07-26,3.3,3206,3,2,2,325.0,159.66897959183672,1970,-37.8413,144.95,Southern Metropolitan,3280,1
Albert Park,27 Barrett St,4,h,2140000.0,S,Greg,2016-06-27,3.3,3206,3,2,1,183.0,145.0,1880,-37.8434,144.9495,Southern Metropolitan,3280,0
Albert Park,44 Greig St,2,h,1750000.0,S,Marshall,2016-11-27,3.3,3206,2,1,1,162.0,121.06938775510203,1970,-37.8416,144.9488,Southern Metropolitan,3280,1
Albert Park,6 Brooke St,2,h,980000.0,S,Greg,2016-05-28,3.3,3206,2,1,0,79.0,68.0,1890,-37.8387,144.9519,Southern Metropolitan,3280,0
Albert Park,227a Danks St,3,h,2030000.0,S,hockingstuart,2016-08-28,3.3,3206,3,2,0,152.0,102.46938775510205,1900,-37.8488,144.9551,Southern Metropolitan,3280,1
Albert Park,17 Reed St,3,h,1740000.0,PI,Marshall,2016-08-28,3.3,3206,3,2,2,147.0,134.0,1890,-37.8448,144.9453,Southern Metropolitan,3280,0
Albert Park,74 Bridport St,3,h,2800000.0,VB,Buxton,2016-07-30,3.3,3206,3,3,1,151.0612244897959,151.0612244897959,2007,-37.8399,144.9577,Southern Metropolitan,3280,1
Albert Park,9 Durham St,1,h,985000.0,S,Marshall,2016-07-30,3.3,3206,1,1,0,81.0,54.0,1900,-37.8411,144.9497,Southern Metropolitan,3280,0
Alphington,6 Smith St,4,h,2000000.0,S,Brace,2016-09-03,6.4,3078,3,2,4,853.0,263.0,1930,-37.7707,145.0318,Northern Metropolitan,2211,0
Alphington,5/6 Yarralea St,3,h,1110000.0,S,Jellis,2016-09-03,6.4,3078,3,2,2,208.0,123.51020408163265,2013,-37.7854,145.0325,Northern Metropolitan,2211,1
Alphington,136A Fulham Rd,3,h,1492000.0,S,Jellis,2017-03-04,6.4,3078,3,2,2,411.0,171.4720408163265,1938,-37.7713,145.0279,Northern Metropolitan,2211,1
Alphington,44 Shiers St,4,h,1717500.0,S,Collins,2016-10-08,6.4,3078,4,2,1,599.0,203.0,1925,-37.7717,145.031,Northern Metropolitan,2211,0
Alphington,83 Fulham Rd,5,h,2840000.0,S,Nelson,2016-06-12,6.4,3078,5,4,4,809.0,165.0,1910,-37.775,145.0268,Northern Metropolitan,2211,0
Alphington,3/19 Harker St,2,u,525500.0,S,Miles,2016-11-12,6.4,3078,2,1,1,88.0,60.0,1960,-37.7791,145.0306,Northern Metropolitan,2211,0
Alphington,4/2 Miller St,2,t,805000.0,S,Miles,2016-11-12,6.4,3078,2,2,3,155.0,140.0,2004,-37.7804,145.0308,Northern Metropolitan,2211,0
Alphington,2/5 Yarana Rd,2,u,465000.0,S,McGrath,2016-11-12,6.4,3078,2,1,1,72.20408163265306,72.20408163265306,1960,-37.7773,145.0314,Northern Metropolitan,2211,1
Alphington,815 Heidelberg Rd,3,h,2000000.0,PI,hockingstuart,2016-10-15,6.4,3078,3,3,2,686.0,192.94897959183675,1970,-37.78,145.0341,Northern Metropolitan,2211,1
Alphington,44 Naroon Rd,3,h,1540000.0,S,Nelson,2016-04-16,6.4,3078,3,1,2,592.0,136.57142857142858,1970,-37.7755,145.0288,Northern Metropolitan,2211,1
Alphington,3/98 Grange Rd,2,u,820000.0,S,Nelson,2017-03-18,6.4,3078,2,1,1,183.0,115.0,1920,-37.7747,145.0264,Northern Metropolitan,2211,1
Alphington,10 Bennett St,4,h,1830000.0,S,Nelson,2016-11-19,6.4,3078,4,2,2,606.0,112.0,1970,-37.7743,145.0316,Northern Metropolitan,2211,0
Alphington,38 Bennett St,4,h,2100000.0,S,Nelson,2016-11-19,6.4,3078,4,2,2,575.0,271.0,2008,-37.7723,145.0319,Northern Metropolitan,2211,0
Alphington,2c Hamilton St,3,h,865000.0,SP,hockingstuart,2016-05-22,6.4,3078,3,1,1,180.0,131.0,2010,-37.7802,145.0243,Northern Metropolitan,2211,0
Alphington,5/5 Yarana Rd,2,u,390000.0,VB,Nelson,2016-05-22,6.4,3078,2,1,1,60.0,60.0,1960,-37.7773,145.0314,Northern Metropolitan,2211,0
Alphington,7/7 Chandler Hwy,2,t,650000.0,SP,Brace,2016-09-24,6.4,3078,0,1,0,56.22122448979592,56.22122448979592,2005,-37.7848,145.025,Northern Metropolitan,2211,1
Alphington,1/14 Fulham Rd,2,u,512000.0,S,Love,2017-02-25,6.4,3078,2,1,1,61.0,61.0,1965,-37.7805,145.0262,Northern Metropolitan,2211,0
Alphington,22 Lowther St,3,h,1165000.0,S,Barry,2016-06-27,6.4,3078,3,1,2,979.0,199.6079591836735,2003,-37.7792,145.029,Northern Metropolitan,2211,1
Alphington,11 Margaret Gr,4,h,1900000.0,SP,McGrath,2016-11-27,6.4,3078,4,2,2,556.0,272.0,1930,-37.7844,145.0225,Northern Metropolitan,2211,0
Alphington,6 Naroon Rd,3,h,1485000.0,SP,McGrath,2016-08-28,6.4,3078,3,0,0,597.0,143.10734693877552,1900,-37.7781,145.0284,Northern Metropolitan,2211,1
Alphington,42 Shiers St,4,h,1950000.0,S,Jellis,2016-07-30,6.4,3078,4,2,3,589.0,210.0,1920,-37.7719,145.0309,Northern Metropolitan,2211,0
Altona,158 Queen St,3,h,520000.0,VB,Greg,2016-09-03,13.8,3018,3,2,1,352.0,242.0,2015,-37.87,144.825,Western Metropolitan,5301,0
Altona,59 Bracken Gr,5,h,1525000.0,S,Greg,2016-12-03,13.8,3018,5,3,3,729.0,268.0,2005,-37.8721,144.8105,Western Metropolitan,5301,0
Altona,1/123 Blyth St,2,t,720000.0,S,hockingstuart,2016-02-04,13.8,3018,2,1,2,292.0,125.0,2013,-37.8687,144.8197,Western Metropolitan,5301,0
Altona,4 Blyth St,3,h,1120000.0,S,Barlow,2017-03-04,13.8,3018,3,1,2,506.0,120.0,1930,-37.8693,144.8375,Western Metropolitan,5301,0
Altona,20 Linnet St,4,h,780000.0,PI,Sweeney,2016-06-04,13.8,3018,4,1,4,655.0,206.59183673469389,1980,-37.868,144.8154,Western Metropolitan,5301,1
Altona,29 Rose St,4,h,1780000.0,SP,Greg,2016-06-04,13.8,3018,4,3,6,1057.0,220.0,1962,-37.8681,144.819,Western Metropolitan,5301,0
Altona,1/170 Blyth St,3,u,630000.0,S,Barlow,2016-08-06,13.8,3018,2,1,2,311.0,94.0,1955,-37.8702,144.8143,Western Metropolitan,5301,0
Altona,5/35 Grieve Pde,2,u,406000.0,SP,hockingstuart,2016-08-06,13.8,3018,2,1,1,65.0,86.53673469387755,2008,-37.8693,144.8171,Western Metropolitan,5301,1
Altona,156 Maidstone St,3,h,660000.0,VB,Greg,2016-05-07,13.8,3018,3,1,1,602.0,123.0,1955,-37.8616,144.8116,Western Metropolitan,5301,0
Altona,11 Keeshan Ct,3,h,683500.0,S,Greg,2016-11-07,13.8,3018,3,1,1,530.0,206.6122448979592,1967,-37.8594,144.817,Western Metropolitan,5301,1
Altona,1/136 Queen St,2,u,580000.0,S,Barlow,2016-10-08,13.8,3018,2,1,1,225.0,93.0,1988,-37.8696,144.827,Western Metropolitan,5301,0
Altona,173 Queen St,3,h,1335000.0,S,hockingstuart,2016-10-08,13.8,3018,3,1,4,777.0,22.0,1953,-37.8697,144.8249,Western Metropolitan,5301,0
Altona,1/265 Queen St,3,t,800000.0,SP,hockingstuart,2016-10-08,13.8,3018,3,2,2,280.0,142.27755102040817,1997,-37.8734,144.8143,Western Metropolitan,5301,1
Altona,3/26 Grieve Pde,2,u,510000.0,S,Village,2016-09-10,13.8,3018,2,1,1,127.0,76.0,1990,-37.8686,144.8182,Western Metropolitan,5301,0
