Suburb,Address,Rooms,Type,Price,Method,SellerG,Date,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,Lattitude,Longtitude,Regionname,Propertycount,BuildingArea_missing,time,time_cont,time_cos,time_sq
Sunshine West,17 Fern St,3,h,480000.0,PI,Barry,2016-04-16,13.5,3020,3,1,2,696.0,148.0,1960,-37.7836,144.7988,Western Metropolitan,6763,0,736368,0.32680851063829786,-0.4640856639701093,0.10680380262562245
Hawthorn East,5/305 Riversdale Rd,2,u,500000.0,S,hockingstuart,2017-05-27,6.2,3123,2,1,1,1324.0,72.0,1970,-37.83012,145.04751000000005,Southern Metropolitan,6482,0,737075,0.9285106382978724,0.9008030774472426,0.8621320054323224
Carnegie,26 Leila Rd,3,h,1716000.0,S,Woodards,2016-08-28,11.4,3163,2,2,1,817.0,130.0,1925,-37.9007,145.047,Southern Metropolitan,7822,0,736776,0.6740425531914893,-0.4593423835214421,0.4543333635129017
Moonee Ponds,31 Pattison St,4,h,1531000.0,S,Rendina,2017-05-06,6.9,3039,4,2,3,508.0,217.73684210526315,1950,-37.7709,144.9338,Western Metropolitan,6232,1,736445,0.3923404255319149,-0.7798031244015404,0.15393100950656405
Mentone,11/19 Brindisi St,2,u,640000.0,S,Chisholm,2017-07-08,20.0,3194,2,1,1,128.0,72.0,1972,-37.98346,145.06313,South-Eastern Metropolitan,6162,0,736529,0.46382978723404256,-0.9742864627848509,0.21513807152557718
Ivanhoe,103 Waterdale Rd,3,h,1225000.0,SP,Miles,2016-04-23,7.9,3079,3,1,1,572.0,130.0,1930,-37.7709,145.0425,Eastern Metropolitan,5549,0,736578,0.505531914893617,-0.9993959999183962,0.25556251697600724
Balwyn,1/252 Union Rd,2,u,526000.0,S,hockingstuart,2016-09-10,9.7,3103,2,1,1,73.0,73.0,1960,-37.8144,145.0993,Southern Metropolitan,5682,0,736248,0.2246808510638298,0.15841473287427668,0.05048148483476687
Richmond,5/10 Elaine Ct,2,u,807000.0,S,Jellis,2016-11-27,2.6,3121,2,2,2,106.0,106.0,2000,-37.8128,145.0139,Northern Metropolitan,14949,0,736782,0.6791489361702128,-0.43061164574291494,0.46124327750113175
South Melbourne,352 Moray St,4,h,2260000.0,PI,Marshall,2016-05-07,2.1,3205,5,3,0,190.0,232.0,1856,-37.8377,144.9653,Southern Metropolitan,5943,0,736110,0.1072340425531915,0.7814741351438854,0.011499139882299685
Caulfield East,13 Lord St,4,h,1550000.0,S,Ray,2017-07-15,8.4,3145,4,2,1,642.0,178.31578947368422,2014,-37.88512,145.04554,Southern Metropolitan,608,1,736739,0.6425531914893617,-0.6249817922263516,0.4128746038931644
Yarraville,13 Benbow St,3,h,1000000.0,S,Jas,2016-09-03,7.0,3013,3,2,1,448.0,147.0,1940,-37.8228,144.8799,Western Metropolitan,6543,0,736038,0.04595744680851064,0.9585979602384334,0.0021120869171570847
Carnegie,51 Mimosa Rd,3,h,1000000.0,PI,Ray,2016-04-16,11.4,3163,3,2,1,390.0,128.42105263157896,1970,-37.8905,145.0518,Southern Metropolitan,7822,1,736368,0.32680851063829786,-0.4640856639701093,0.10680380262562245
Brighton East,14 Holmhurst Ct,4,h,1700000.0,PI,Buxton,2016-12-10,10.7,3187,4,3,4,708.0,275.0,1950,-37.9299,145.015,Southern Metropolitan,6938,0,736284,0.2553191489361702,-0.0334149770076743,0.06518786781349026
Pascoe Vale,61 Pardy St,3,h,940000.0,SP,hockingstuart,2017-07-29,8.5,3044,3,1,1,559.0,109.0,1955,-37.7327,144.92966,Northern Metropolitan,7485,0,737159,1.0,1.0,1.0
Sunshine,2/6 Farnsworth St,2,h,435000.0,PI,Douglas,2016-07-30,12.6,3020,2,1,1,155.0,102.73684210526316,1940,-37.7796,144.8384,Western Metropolitan,3755,1,736824,0.7148936170212766,-0.2187955187710754,0.5110728836577637
Fitzroy North,11 Freeman St,3,h,1655000.0,S,Nelson,2016-12-10,3.5,3068,3,1,0,176.0,111.26315789473684,1900,-37.7892,144.9773,Northern Metropolitan,6244,1,736284,0.2553191489361702,-0.0334149770076743,0.06518786781349026
Fawkner,12 Brockley Rd,3,h,532000.0,S,Nelson,2016-06-27,12.4,3060,3,1,1,614.0,155.0,1910,-37.716,144.9666,Northern Metropolitan,5070,1,736722,0.6280851063829788,-0.6932680292037041,0.39449090086011773
Ivanhoe,3/40 Magnolia Rd,3,u,880000.0,VB,Barry,2017-07-08,7.8,3079,3,2,1,252.0,153.73684210526315,1980,-37.75842,145.05075,Eastern Metropolitan,5549,1,736529,0.46382978723404256,-0.9742864627848509,0.21513807152557718
Sunshine,104 Wright St,3,h,570000.0,PI,Douglas,2016-11-19,12.6,3020,3,1,2,535.0,105.0,1970,-37.7956,144.8292,Western Metropolitan,3755,0,736542,0.4748936170212766,-0.9875835554120111,0.22552394748755092
Oak Park,63 Vincent St,3,h,900000.0,SP,Nelson,2016-07-16,11.5,3046,3,1,1,705.0,146.10526315789474,1920,-37.7187,144.914,Northern Metropolitan,2651,1,736404,0.3574468085106383,-0.6249817922263514,0.12776822091444093
Flemington,15 Clarence St,3,h,885000.0,S,Nelson,2016-08-13,4.4,3031,3,1,0,162.0,152.78947368421052,1880,-37.7869,144.9253,Northern Metropolitan,3593,1,736326,0.29106382978723405,-0.2551585253671358,0.08471815301041195
Prahran,79 Chomley St,3,h,1358000.0,S,Jellis,2016-09-10,4.5,3181,2,1,1,189.0,123.6842105263158,1996,-37.8561,145.0056,Southern Metropolitan,7717,1,736248,0.2246808510638298,0.15841473287427668,0.05048148483476687
Moonee Ponds,27/15 Moore St,2,u,560000.0,PI,Alexkarbon,2017-04-08,6.9,3039,2,2,1,63.0,63.0,2015,-37.7675,144.92,Western Metropolitan,6232,0,736493,0.43319148936170215,-0.9131825981836027,0.1876548664554097
Brighton East,40 Hodder St,3,h,1635000.0,S,Buxton,2017-05-13,10.7,3187,3,1,1,597.0,131.0,1925,-37.9064,145.0229,Southern Metropolitan,6938,0,736655,0.571063829787234,-0.9019608494836844,0.326113897691263
Brighton East,239 South Rd,3,h,1400000.0,S,Buxton,2017-05-20,10.7,3187,3,1,2,677.0,158.26315789473685,1950,-37.9304,145.0151,Southern Metropolitan,6938,1,736865,0.7497872340425532,-0.0013368475395042162,0.5621808963331825
Niddrie,19 Nolan St,3,h,1300000.0,S,Nelson,2017-06-17,10.4,3042,3,1,4,646.0,150.0,1950,-37.7415,144.88923,Western Metropolitan,2291,0,736787,0.683404255319149,-0.4063295122520133,0.46704137618832053
Hawthorn East,5/305 Riversdale Rd,2,u,490000.0,S,Marshall,2016-11-07,7.5,3123,2,1,1,69.78947368421052,69.78947368421052,1900,-37.8301,145.0475,Southern Metropolitan,6482,1,736182,0.16851063829787233,0.4899328822003795,0.028395835219556357
Oak Park,3/21 Lex Gr,3,u,648000.0,S,Nelson,2017-04-29,11.5,3046,3,1,1,94.0,94.0,1998,-37.7188,144.9243,Northern Metropolitan,2651,0,737123,0.9693617021276596,0.9815278520011361,0.9396621095518335
Sunshine West,9 Dalpura Dr,3,h,488000.0,S,Barry,2016-12-03,13.5,3020,3,1,2,538.0,132.44105263157894,1900,-37.7952,144.8126,Western Metropolitan,6763,1,736074,0.07659574468085106,0.8864099433524301,0.0058669081032141236
Richmond,6 Kennedy St,3,h,1365000.0,S,Nelson,2016-09-17,2.6,3121,3,1,1,301.0,110.0,1935,-37.8134,145.0055,Northern Metropolitan,14949,0,736458,0.4034042553191489,-0.8214034466813358,0.16273499320959708
Viewbank,11 Grantham Rd,4,h,940000.0,VB,Miles,2016-06-18,13.8,3084,4,3,2,574.0,192.10526315789474,1960,-37.7319,145.0907,Eastern Metropolitan,2698,1,736452,0.3982978723404255,-0.8026846115991687,0.1586411951109099
Brunswick East,7/162 Lygon St,2,u,420000.0,PI,Jellis,2016-07-30,4.5,3057,2,1,1,69.78947368421052,69.78947368421052,2000,-37.7732,144.9716,Northern Metropolitan,5533,1,736824,0.7148936170212766,-0.2187955187710754,0.5110728836577637
Heidelberg West,21 Pacific Dr,3,h,710000.0,S,William,2016-12-10,9.4,3081,3,1,1,594.0,107.0,2016,-37.7385,145.0409,Eastern Metropolitan,2674,0,736284,0.2553191489361702,-0.0334149770076743,0.06518786781349026
Pascoe Vale,6 Merbein St,2,h,680000.0,PI,hockingstuart,2016-05-14,9.9,3044,2,1,2,590.0,95.0,1940,-37.717,144.9509,Northern Metropolitan,7485,0,736320,0.28595744680851065,-0.22401019408829695,0.0817716613852422
Heidelberg,55 Hodgson St,3,h,1076000.0,S,Miles,2016-09-24,10.6,3084,3,1,2,674.0,194.57894736842104,1998,-37.749,145.0731,Eastern Metropolitan,2890,1,736668,0.5821276595744681,-0.8697882538649374,0.3388726120416478
Footscray,6/248 Gordon St,1,u,315000.0,SP,Biggin,2017-05-20,6.4,3011,1,1,1,54.578947368421055,54.578947368421055,1965,-37.7971,144.8883,Western Metropolitan,7570,1,736865,0.7497872340425532,-0.0013368475395042162,0.5621808963331825
Ripponlea,4/16 Hotham Gr,2,u,660000.0,S,RT,2016-11-12,7.4,3185,2,1,0,477.0,134.26315789473685,1970,-37.8804,144.9969,Southern Metropolitan,821,1,736332,0.29617021276595745,-0.2860442175758541,0.0877167949298325
Sunshine,69 Duke St,3,h,710000.0,S,Village,2017-04-29,12.6,3020,3,1,0,483.0,93.84,1950,-37.7875,144.8456,Western Metropolitan,3755,0,737123,0.9693617021276596,0.9815278520011361,0.9396621095518335
Ascot Vale,3/28 Ormond Rd,2,u,432000.0,S,Biggin,2016-10-15,5.9,3032,2,1,1,62.0,62.0,1978,-37.773,144.9303,Western Metropolitan,6567,0,736410,0.3625531914893617,-0.6497021488412739,0.13144481665912178
Murrumbeena,21 Reid St,3,h,1321188.0,SP,Woodards,2017-09-23,10.1,3163,3,1,1,586.0,200.0,1945,-37.90584000000001,145.0725,Southern Metropolitan,4442,0,737003,0.8672340425531915,0.671775606531289,0.7520948845631508
Craigieburn,42 Valiant Cr,4,h,667500.0,S,LJ,2017-08-12,20.6,3064,4,2,2,448.0,178.48947368421054,2014,-37.59264,144.8985,Northern Metropolitan,15510,1,736661,0.5761702127659575,-0.8876444302780825,0.3319721140787687
Collingwood,3/8 Forest St,2,u,560000.0,S,Jellis,2017-08-12,2.0,3066,2,1,1,60.0,60.0,1975,-37.79627,144.99229,Northern Metropolitan,4553,0,736661,0.5761702127659575,-0.8876444302780825,0.3319721140787687
West Footscray,77 Suffolk St,2,h,495000.0,S,Burnham,2016-09-24,8.2,3012,2,1,2,161.0,700.0,1977,-37.7905,144.8714,Western Metropolitan,5058,0,736668,0.5821276595744681,-0.8697882538649374,0.3388726120416478
Dingley Village,138 Howard Rd,3,h,816000.0,S,Buxton,2017-06-03,22.2,3172,3,2,2,533.0,122.0,1980,-37.986,145.12035,South-Eastern Metropolitan,3940,0,736367,0.32595744680851063,-0.45934238352144185,0.10624825712992304
Seddon,50 Hyde St,3,h,937500.0,S,Village,2016-10-08,6.6,3011,2,2,2,409.0,178.8421052631579,1978,-37.8097,144.8987,Western Metropolitan,2417,1,736200,0.18382978723404256,0.4038850357274254,0.033793390674513354
North Melbourne,306/68 Leveson St,2,u,620000.0,VB,Jellis,2017-07-08,1.8,3051,2,1,1,69.78947368421052,69.78947368421052,2014,-37.80272,144.95174,Northern Metropolitan,6821,1,736529,0.46382978723404256,-0.9742864627848509,0.21513807152557718
Elwood,1/125 Glen Huntly Rd,2,u,630000.0,S,Chisholm,2016-10-15,7.7,3184,2,1,1,69.78947368421052,69.78947368421052,1960,-37.8828,144.9897,Southern Metropolitan,8989,1,736410,0.3625531914893617,-0.6497021488412739,0.13144481665912178
Mont Albert,7 Grace St,4,h,2365000.0,S,Marshall,2017-04-29,11.8,3127,4,2,2,636.0,203.00947368421052,1920,-37.8127,145.107,Eastern Metropolitan,2079,1,737123,0.9693617021276596,0.9815278520011361,0.9396621095518335
Brighton East,214 Were St,4,h,2310000.0,S,Buxton,2016-05-28,10.7,3187,4,2,2,757.0,130.0,1930,-37.9266,145.0088,Southern Metropolitan,6938,0,736740,0.6434042553191489,-0.6207984922906896,0.41396903576278854
Bentleigh,74 Fromer St,4,h,1328000.0,S,hockingstuart,2016-09-10,13.0,3204,3,2,2,610.0,112.0,1940,-37.9291,145.0472,Southern Metropolitan,6795,0,736248,0.2246808510638298,0.15841473287427668,0.05048148483476687
Werribee,6 Cassowary Av,3,h,505000.0,SP,Greg,2017-07-15,14.7,3030,3,2,4,557.0,116.0,1987,-37.87975,144.66459,Western Metropolitan,16166,0,736739,0.6425531914893617,-0.6249817922263516,0.4128746038931644
Kew East,33a Westbrook St,3,h,1300000.0,S,Nelson,2016-10-15,7.5,3102,3,1,2,378.0,149.5978947368421,2000,-37.7956,145.0525,Southern Metropolitan,2671,1,736410,0.3625531914893617,-0.6497021488412739,0.13144481665912178
St Kilda,10/69 Wellington St,2,u,685000.0,S,Greg,2017-03-04,6.1,3182,2,2,2,102.0,102.0,1999,-37.8568,144.9873,Southern Metropolitan,13240,0,736361,0.32085106382978723,-0.43061164574291433,0.1029454051607062
Oakleigh South,16 Alleford St,3,h,875000.0,S,Buxton,2017-03-04,14.7,3167,3,2,1,258.0,105.0,1999,-37.9156,145.0879,South-Eastern Metropolitan,3692,0,736361,0.32085106382978723,-0.43061164574291433,0.1029454051607062
Surrey Hills,999A Riversdale Rd,3,h,1205000.0,S,Fletchers,2016-01-28,11.2,3127,3,1,2,490.0,156.64473684210526,1935,-37.8361,145.1006,Southern Metropolitan,5457,1,736692,0.6025531914893617,-0.7994839461943831,0.3630703485740154
West Footscray,106 Summerhill Rd,3,h,1040000.0,S,Jas,2017-05-20,8.2,3012,3,1,1,330.0,141.47027368421053,1900,-37.7961,144.8815,Western Metropolitan,5058,1,736865,0.7497872340425532,-0.0013368475395042162,0.5621808963331825
Ashburton,69 Albion Rd,3,h,1670000.0,S,Jellis,2016-12-03,11.0,3147,3,2,2,599.0,220.0,1930,-37.8673,145.0688,Southern Metropolitan,3052,0,736074,0.07659574468085106,0.8864099433524301,0.0058669081032141236
Essendon,55 Lincoln Rd,4,h,1600000.0,SP,Brad,2016-11-19,8.0,3040,4,3,1,519.0,218.0,1930,-37.7517,144.9086,Western Metropolitan,9264,0,736542,0.4748936170212766,-0.9875835554120111,0.22552394748755092
Cheltenham,19 Shipston Rd,3,h,1240000.0,S,O'Brien,2017-06-03,17.9,3192,3,1,4,605.0,130.0,1960,-37.97161,145.07036000000005,Southern Metropolitan,9758,0,736367,0.32595744680851063,-0.45934238352144185,0.10624825712992304
Carrum Downs,9 Talba Ct,3,h,552500.0,S,O'Brien,2017-08-12,34.9,3201,3,2,2,779.0,147.0,1988,-38.11471,145.18248,South-Eastern Metropolitan,8060,0,736661,0.5761702127659575,-0.8876444302780825,0.3319721140787687
Brighton East,4 Vincent St,3,h,1480000.0,S,hockingstuart,2016-11-07,10.7,3187,3,2,2,697.0,143.0,1925,-37.9269,145.0274,Southern Metropolitan,6938,0,736182,0.16851063829787233,0.4899328822003795,0.028395835219556357
Brighton East,7 Holmhurst Ct,4,t,1700000.0,PI,Hodges,2017-04-29,10.7,3187,4,3,2,312.0,118.0,1950,-37.9295,145.0144,Southern Metropolitan,6938,0,737123,0.9693617021276596,0.9815278520011361,0.9396621095518335
St Kilda,21/352 Canterbury Rd,2,u,500000.0,SP,Whiting,2016-11-27,6.1,3182,2,2,2,104.0,104.0,2000,-37.859,144.9767,Southern Metropolitan,13240,0,736782,0.6791489361702128,-0.43061164574291494,0.46124327750113175
Caulfield North,127 Normanby Rd,4,h,2625000.0,S,Marshall,2017-02-25,8.1,3161,4,2,3,836.0,198.78947368421052,1910,-37.8696,145.0323,Southern Metropolitan,6923,1,736979,0.8468085106382979,0.5714451753481167,0.7170846536894523
Thornbury,27 Gooch St,2,h,1200000.0,S,Nelson,2017-08-19,7.0,3071,2,1,1,277.0,133.69473684210524,2000,-37.75802,145.00264,Northern Metropolitan,8870,1,736871,0.7548936170212766,0.030742657968892046,0.5698643730194658
Glenroy,20A Apsley St,3,h,820000.0,S,Stockdale,2017-07-29,11.2,3046,3,1,4,650.0,135.0,1950,-37.70768,144.92586,Northern Metropolitan,8870,0,737159,1.0,1.0,1.0
Burwood,2/32 McIntyre St,3,u,1022500.0,S,Ray,2016-12-03,11.7,3125,3,2,2,265.0,130.0,2000,-37.8516,145.1056,Southern Metropolitan,5678,0,736074,0.07659574468085106,0.8864099433524301,0.0058669081032141236
Hawthorn,8/1 Muir St,3,u,1000000.0,PI,Kay,2016-09-10,4.6,3122,3,3,2,145.0,145.0,1999,-37.8144,145.0153,Southern Metropolitan,11308,0,736248,0.2246808510638298,0.15841473287427668,0.05048148483476687
Wantirna South,42 Argyle Wy,4,h,1045000.0,S,Noel,2017-07-15,14.7,3152,4,3,2,728.0,153.0,1990,-37.88009,145.22736,Eastern Metropolitan,7082,0,736739,0.6425531914893617,-0.6249817922263516,0.4128746038931644
Mitcham,55 Burnett St,4,h,1120000.0,SP,Noel,2017-09-16,17.2,3132,4,2,2,981.0,209.0,1975,-37.81188,145.20051999999995,Eastern Metropolitan,6871,1,736793,0.6885106382978723,-0.37680909574734694,0.47404689904934355
Ivanhoe East,46 McArthur Rd,3,h,1535000.0,S,Nelson,2017-09-09,7.8,3079,3,2,1,697.0,128.0,1930,-37.77536,145.06295,Eastern Metropolitan,1554,0,736583,0.5097872340425532,-0.9981097779620154,0.2598830239927569
Kensington,11/33 Rankins Rd,2,u,666000.0,S,Nelson,2016-08-13,4.2,3031,2,1,2,1111.0,92.0,1998,-37.7896,144.9321,Northern Metropolitan,5263,0,736326,0.29106382978723405,-0.2551585253671358,0.08471815301041195
Brighton,59 William St,2,h,1701000.0,S,Buxton,2017-02-25,11.2,3186,2,1,2,80.36842105263158,80.36842105263158,2013,-37.9118,145.0041,Southern Metropolitan,10579,1,736979,0.8468085106382979,0.5714451753481167,0.7170846536894523
Hawthorn,36 College St,2,h,2265000.0,S,Morrison,2017-03-18,4.6,3122,2,1,1,460.0,129.26315789473685,1960,-37.8173,145.0248,Southern Metropolitan,11308,1,736781,0.6782978723404255,-0.4354316867829626,0.46008800362154817
Kensington,26 Hopetoun St,2,h,1155000.0,SP,Edward,2016-11-19,4.2,3031,2,1,1,197.0,101.0,1890,-37.7918,144.9264,Northern Metropolitan,5263,0,736542,0.4748936170212766,-0.9875835554120111,0.22552394748755092
Pascoe Vale,173 Cumberland Rd,4,h,723000.0,S,Stockdale,2016-05-22,9.9,3044,4,1,2,485.0,165.2021052631579,1960,-37.7239,144.9395,Northern Metropolitan,7485,1,736560,0.4902127659574468,-0.9981097779620154,0.2403085559076505
Hawthorn,2 Fordholm Rd,5,h,4250000.0,PI,Marshall,2016-09-17,4.6,3122,5,4,3,1275.0,435.0,1930,-37.8291,145.0308,Southern Metropolitan,11308,0,736458,0.4034042553191489,-0.8214034466813358,0.16273499320959708
Heidelberg West,312 Liberty Pde,3,h,605000.0,S,Haughton,2017-05-27,8.8,3081,3,1,2,377.0,115.96,1960,-37.73712,145.0369,Eastern Metropolitan,2674,0,737075,0.9285106382978724,0.9008030774472426,0.8621320054323224
Toorak,16 Cole Ct,3,h,3270000.0,S,Marshall,2016-08-28,4.6,3142,3,2,1,363.0,215.0,1935,-37.8445,145.0182,Southern Metropolitan,7217,0,736776,0.6740425531914893,-0.4593423835214421,0.4543333635129017
